File_Name,no_of_images,Base_Call_no,Call_no_letter,Call_no_number,Item_number,Series,Main_Entry,Dates_Covered,Dates_Written,Places,Language,Summary_Notes,Arrangement,Item_dateYear,Filing_year,Month,Day,Item_Title,no_pages,no_pieces,Abstract_Summary_of_item,placeTerm,Additional_Notes,Metadata,Sarah_Proofing_Notes,recpt,fulldate
ksrl_sc_ms23_C.2.10_001.TIF & ksrl_sc_ms23_C.2.10_002.TIF,2,MS23,C,2,10,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,1890?,1890,,,"Letter to ""My dear William"" [Michael Rossetti]",2,1,"Begins: ""I hope your new home pleases you...""",England--London,Provenance: Gift: Paden 1979 bequest C.73 (from Maggs 16 Sept 1959),Y,,"Rosetti, William Michael, 1829-1919",1890
ksrl_sc_ms23_C.2.11_001.TIF & ksrl_sc_ms23_C.2.11_002.TIF,2,MS23,C,2,11,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,1890?,1890,1,8,Letter to Lady Louisa Feilding [Fielding?],2,1,"[1890] Jan 8, 30 Torrington Square, W.C.; Subject: the death of Charlotte Polidori; tell Lady Bath (if you think the news should reach her). Mourning paper.",England--London,Provenance: Gift: Paden 1979 bequest C.42. (marked 261),Y,,"Feilding, Louisa",1890-01-08
ksrl_sc_ms23_C.3.1_001.TIF & ksrl_sc_ms23_C.3.1_002.TIF & ksrl_sc_ms23_C.3.1_003.TIF,3,MS23,C,3,1,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,186?-1894,1860,,,"Letter to Mrs. Gilchrist [Anne Gilchrist, n_e Burrows?]",4,1,"Thursday evening, 166 Albany St., London, N.W.; Begins: ""Thank you for such a delightfully kind letter—""",England--London,"Provenance: Purchase: [old folder ""3""; marked Rose Morgan Fund]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Gilchrist, Anne Burrows, 1828-1885",1860
ksrl_sc_ms23_C.3.2_001.TIF & ksrl_sc_ms23_C.3.2_002.TIF & ksrl_sc_ms23_C.3.2_003.TIF,3,MS23,C,3,2,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,186?-1894,1860,,,"Letter to Mrs. Gilchrist [Anne Gilchrist, n_e Burrows?]",4,1,"Monday, 166 Albany St., London, N.W.; Begins: ""I hope the temporary loss of the paper...""",England--London,"Provenance: Purchase: [old folder ""3""; marked Rose Morgan Fund]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Gilchrist, Anne Burrows, 1828-1885",1860
ksrl_sc_ms23_C.3.3_001.TIF & ksrl_sc_ms23_C.3.3_002.TIF & ksrl_sc_ms23_C.3.3_003.TIF,3,MS23,C,3,3,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,186?-1894,1860,,,"Letter to Mrs. Gilchrist [Anne Gilchrist, n_e Burrows?]",3,1,"Monday Morning, 166 Albany St., London, N.W.; Begins: ""I congratulate you most warmly on the improvement in health...""",England--London,"Provenance: Purchase: [old folder ""3""; marked Rose Morgan Fund]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Gilchrist, Anne Burrows, 1828-1885",1860
ksrl_sc_ms23_C.3.4_001.TIF & ksrl_sc_ms23_C.3.4_002.TIF & ksrl_sc_ms23_C.3.4_003.TIF,3,MS23,C,3,4,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,186?-1894,1860,,,"Letter to Mrs. Gilchrist [Anne Gilchrist, n_e Burrows?]",4,1,"Wednesday, 8th, 45 Upper Albany St., London, N.W.; Begins: ""I will not lose a post in letting you know about William's possibilities—""",England--London,"Provenance: Purchase: [old folder ""3""; marked Rose Morgan Fund]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Gilchrist, Anne Burrows, 1828-1885",1860
ksrl_sc_ms23_C.3.5_001.TIF & ksrl_sc_ms23_C.3.5_002.TIF & ksrl_sc_ms23_C.3.5_003.TIF,3,MS23,C,3,5,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,186?-1894,1860,,,"Letter to Mrs. Gilchrist [Anne Gilchrist, n_e Burrows?]",3,1,"Saturday, 21st, 45 Upper Albany St., London, N.W.; Begins: ""I have indeed often thought of my prospective visit to Brookbank..."" On mourning paper (thin margin).",England--London,"Provenance: Purchase: [old folder ""3""; marked Rose Morgan Fund]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Gilchrist, Anne Burrows, 1828-1885",1860
ksrl_sc_ms23_C.3.6_001.TIF & ksrl_sc_ms23_C.3.6_002.TIF & ksrl_sc_ms23_C.3.6_003.TIF,3,MS23,C,3,6,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,186?-1894,1860,4,7,"Letter to Mrs. Gilchrist [Anne Gilchrist, n_e Burrows?]",2,1,"7th April, 56 Euston Square, N.W.; Begins: ""I might not know how to excuse my not having yet returned...""",England--London,"Provenance: Purchase: [old folder ""3""; marked Rose Morgan Fund]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Gilchrist, Anne Burrows, 1828-1885",1860-04-07
ksrl_sc_ms23_C.3.7_001.TIF & ksrl_sc_ms23_C.3.7_002.TIF & ksrl_sc_ms23_C.3.7_003.TIF,3,MS23,C,3,7,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,186?-1894,1860,,,"Letter to Mrs. Gilchrist [Anne Gilchrist, n_e Burrows?]",3,1,"Thursday evening, 56 Euston Square, N.W.; Begins: ""Please accept my little note of sympathy in your suffering—""",England--London,"Provenance: Purchase: [old folder ""3""; marked Rose Morgan Fund]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Gilchrist, Anne Burrows, 1828-1885",1860
ksrl_sc_ms23_C.3.8_001.TIF & ksrl_sc_ms23_C.3.8_002.TIF & ksrl_sc_ms23_C.3.8_003.TIF,3,MS23,C,3,8,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,186?-1894,1860,,,"Letter to Mrs. Gilchrist [Anne Gilchrist, n_e Burrows?]",2,1,"Friday afternoon, 30 Torrington Square, W.C.; Begins: ""Thank you for remembering me who have dropped out of the circle! —""",England--London,"Provenance: Purchase: [old folder ""3""; marked Rose Morgan Fund]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Gilchrist, Anne Burrows, 1828-1885",1860
ksrl_sc_ms23_C.3.9_001.TIF & ksrl_sc_ms23_C.3.9_002.TIF & ksrl_sc_ms23_C.3.9_003.TIF,3,MS23,C,3,9,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,186?-1894,1860,,,"Letter to Mrs. Gilchrist [Anne Gilchrist, n_e Burrows?]",3,1,"Monday, 30 Torrington Square, W.C.; Begins: ""I hear from my brother that you are suffering—""",England--London,"Provenance: Purchase: [old folder ""3""; marked Rose Morgan Fund]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Gilchrist, Anne Burrows, 1828-1885",1860
ksrl_sc_ms23_C.3.10_001.TIF & ksrl_sc_ms23_C.3.10_002.TIF & ksrl_sc_ms23_C.3.10_003.TIF,3,MS23,C,3,10,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,186?-1894,1860,,,"Letter to Mrs. Gilchrist [Anne Gilchrist, n_e Burrows?]",4,1,"Thursday, Care of Miss Boyd, Penkill Castle, Girvan, N.B.; Begins: ""Thank you for your very kind disappointment showing a regard for me—""",,"Provenance: Purchase: [old folder ""3""; marked Rose Morgan Fund]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Gilchrist, Anne Burrows, 1828-1885",1860
ksrl_sc_ms23_C.3.11_001.TIF & ksrl_sc_ms23_C.3.11_002.TIF & ksrl_sc_ms23_C.3.11_003.TIF,3,MS23,C,3,11,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,1868,1868,6,14,"Letter to Mrs. Gilchrist [Anne Gilchrist, n_e Burrows?]",3,1,"1868 June 14, 31 Trafalgar Square, Scarborough.; Begins: ""Would you believe that it was a real relief to me to find—""","Scarborough, England","Provenance: Purchase: [old folder ""3""; marked Rose Morgan Fund]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Gilchrist, Anne Burrows, 1828-1885",1868-06-14
ksrl_sc_ms23_C.4.1_001.TIF & ksrl_sc_ms23_C.4.1_002.TIF,2,MS23,C,4,1,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,186?-1894,1860,,,Letter to William Bryant,2,1,"Tuesday, 30 Torrington Square, W.C.; Begins: ""Without reminding you of anything I have said already, let me say that I do not quite like your scheme as I cannot but doubt whether your acquaintance can be aware of the value of the books he offers you—""",England--London,"Provenance: Purchase: [old folder ""4""]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Bryant, William",1860
ksrl_sc_ms23_C.4.2a_001.TIF & ksrl_sc_ms23_C.4.2a_002.TIF,2,MS23,C,4,2a,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,1886,1886,7,10,Letter to William Bryant,1,1,"[1886 July 10] Saturday, 30 Torrington Square, W.C.; Begins: ""Well-- ! Only pray do your utmost...""
Heavy mourning. Envelope postmarked JY 10 86.",England--London,"Provenance: Purchase: [old folder ""4""]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Bryant, William",1886-07-10
ksrl_sc_ms23_C.4.2b_001.TIF & ksrl_sc_ms23_C.4.2b_002.TIF,2,MS23,C,4,2b,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,1886,1886,7,10,Envelope addressed to William Bryant,1,1,[Postmark: London JY 10 86]; Envelope addressed to William Bryant Esq / 7 Spa Cottages / Green Terrace / Clerkenwell EC,England--London,"Provenance: Purchase: [old folder ""4""]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Bryant, William",1886-07-10
ksrl_sc_ms23_C.5.1_001.TIF & ksrl_sc_ms23_C.5.1_002.TIF,2,MS23,C,5,1,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,186?-1894,1860,,,Letter to Frederic James Shields,1,1,"Tuesday morning, on Torrington Square letterhead; Text: ""'We took sweet counsel together, and walked in the House of God as friends.' Hearty congratulations to Mr. Gurney touching the Crypt recess. CGR.""",England--London,"Provenance: Purchase: [first group; old folder ""5""]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Shields, Frederic James, 1833-1911",1860
ksrl_sc_ms23_C.5.2_001.TIF & ksrl_sc_ms23_C.5.2_002.TIF,2,MS23,C,5,2,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,186?-1894,1860,,,Letter to Frederic James Shields,3,1,"Tuesday evening, 30 Torrington Square, W.C.; Begins: ""Even before I looked for one, comes an answer from Mr. Gutch""",England--London,"Provenance: Purchase: [first group; old folder ""5""]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Shields, Frederic James, 1833-1911",1860
ksrl_sc_ms23_C.5.3_001.TIF & ksrl_sc_ms23_C.5.3_002.TIF,2,MS23,C,5,3,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,186?-1894,1860,,,Letter to unknown recipient regarding Frederic James Shields,2,1,"[End of a letter. Not to Shields, but offering a covert apology to Shields by way of the recipient.] Begins: ""the pleasure of seeing you. It was Aunt Eliza who with us visited Mr Shields studio..."" Ends: ""With all loves, especially our Mother's, your affectionate
Christina G. Rossetti. We won't despair of staying with you at a more propitious time.""",,"Provenance: Purchase: [first group; old folder ""5""]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",C,,"Shields, Frederic James, 1833-1911",1860
ksrl_sc_ms23_C.5.4_001.TIF & ksrl_sc_ms23_C.5.4_002.TIF,2,MS23,C,5,4,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,1884,1884,7,4,Postcard to Frederic James Shields,1 + address,1,"1884 Jy 4 [postmark], no place.; Begins: ""We hope all three..."" [1 postcard]",,"Provenance: Purchase: [first group; old folder ""5""]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Shields, Frederic James, 1833-1911",1884-07-04
ksrl_sc_ms23_C.5.5_001.TIF & ksrl_sc_ms23_C.5.5_002.TIF,2,MS23,C,5,5,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,1885,1885,3,27,Postcard to Frederic James Shields,1 + address,1,"1885 Mar 27, 30 Torrington Square, W.C.; Begins: ""Please accept a card of t hanks—"" [1 postcard]",England--London,"Provenance: Purchase: [first group; old folder ""5""]; Likely Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.",Y,,"Shields, Frederic James, 1833-1911",1885-03-27
